id,date,merchant,category,amount,notes
59,2021-07-05,Microsoft 365,Subscriptions,2.17,monthly subscription
60,2021-10-23,Rite Aid,Health,137.65,first-aid supplies
61,2021-04-09,Puget Sound Energy,Utilities,237.54,monthly bill
62,2021-12-27,Subway,Food & Drink,35.01,client dinner
63,2021-02-05,Landlord,Rent,2289.36,monthly rent
64,2021-01-24,Delta Air,Travel,1083.76,hotel stay
65,2021-12-05,REI,Shopping,111.77,clothing
66,2021-04-27,Ace Hardware,Home,136.32,tools & supplies
67,2021-05-29,Udemy,Education,883.79,course enrollment
68,2021-02-10,Yellow Cab,Transport,95.63,client visit
69,2021-04-30,Evernote,Subscriptions,40.92,annual plan
70,2021-02-21,Chipotle,Food & Drink,26.04,coffee and snack
71,2021-07-14,Udemy,Education,215.58,certification exam
72,2021-05-23,Whole Foods,Groceries,82.42,fresh produce
73,2021-08-21,Trader Joe's,Groceries,262.02,snacks and beverages
74,2021-11-22,Walmart,Groceries,131.91,snacks and beverages
75,2021-07-06,Bank Fee,Fees & Charges,43.97,atm fee
76,2021-03-25,Yellow Cab,Transport,12.28,downtown ride
77,2021-07-09,PlayStation Store,Entertainment,237.64,game purchase
78,2021-07-01,Landlord,Rent,2155.59,monthly rent
79,2021-04-18,Bolt,Transport,56.84,downtown ride
80,2021-12-10,Service Charge,Fees & Charges,34.66,late fee
81,2021-05-17,Target,Shopping,370.58,electronics
82,2021-12-26,State Farm,Insurance,198.25,monthly premium
83,2021-12-16,Best Buy,Shopping,512.05,clothing
84,2021-11-28,Hilton,Travel,687.57,hotel stay
85,2021-02-06,Costco,Groceries,209.65,fresh produce
86,2021-11-08,Apartment Management,Rent,2218.23,monthly rent
87,2021-11-22,Southwest,Travel,544.37,car rental
88,2021-03-29,Apartment Management,Rent,2394.96,monthly rent
89,2021-10-01,Bartell Drugs,Health,383.82,co-pay
90,2021-05-06,Rite Aid,Health,417.21,vitamins
91,2021-03-25,Domino's,Food & Drink,42.00,team lunch
92,2021-08-25,Adobe,Subscriptions,3.17,monthly subscription
93,2021-07-14,Ace Hardware,Home,682.04,tools & supplies
94,2021-05-19,PlayStation Store,Entertainment,176.10,game purchase
95,2021-11-24,Spotify,Entertainment,51.09,movie night
96,2021-12-19,GoFundMe,Gifts & Donations,391.43,charitable donation
97,2021-10-13,Bolt,Transport,66.01,ride to airport
98,2021-04-23,Comcast,Utilities,198.89,water & sewer
99,2021-12-17,Bartell Drugs,Health,480.41,first-aid supplies
100,2021-06-16,Apartment Management,Rent,3491.71,monthly rent
